Pricing Date,Issuer Ticker,Issuer Name,Offer Size (M),Offer Price,Offer To 1st Close,Initial Pub Offer (Shares Offered),Bookrunner,Industry Sector,Market Cap at Offer (M),Instit Owner (% Shares Out),Primary Exchange
12/14/06,AFFY US,Affymax Inc,106.375,25,35.52000046,3700000.00,Morgan Stanley,"Consumer, Non-cyclical",350.34,,OTC US
12/14/06,WSFGQ US,WSB Financial Group Inc,43.6425,16.5,13.33333302,2300000.00,DA Davidson & Co,Financial,91.23,,OTC US
12/13/06,NEWS US,First Eagle Private Credit LLC,234.6,17,4.176470757,12000000.00,"Goldman Sachs, Morgan Stanley",Financial,616.49,, 
12/13/06,ATN US,Atlas Energy Resources LLC,152.749,21,5.238095284,6325000.00,UBS,Energy,790.09,, 
12/13/06,OMPI US,TBD-OMP Inc,58.85,11,-8.181818008,5350000.00,JP Morgan,"Consumer, Non-cyclical",239.79,, 
12/13/06,2244179D US,MEDecision Inc,47,10,0,4700000.00,TD Securities,Technology,149.42,, 
12/12/06,1817382D US,DCT Industrial Trust Inc,199.675,12.25,0.816326559,16300000.00,"BofA Securities, Wells Fargo",Financial,2062.35,, 
12/12/06,IPGP US,IPG Photonics Corp,170.775,16.5,55.15151596,9000000.00,"Lehman Brothers, BofA Securities",Technology,729.8,93.8137,NASDAQ GS
12/12/06,GUID US,Guidance Software Inc,66.125,11.5,32,5000000.00,Morgan Stanley,Technology,253.69,0.0383596, 
12/11/06,BCIC US,BCP Investment Corp,216.93,15,5.733333111,13500000.00,"BofA Securities, Lehman Brothers",Financial,269.19,17.5122,NASDAQ GS
12/7/06,HLYS US,Heelys Inc,155.164,21,55.23809433,6425000.00,"Wells Fargo, JP Morgan","Consumer, Cyclical",567.61,0.00979288, 
12/7/06,ALGT US,Allegiant Travel Co,103.5,18,39.44444275,5000000.00,BofA Securities,"Consumer, Cyclical",356.33,95.3118,NASDAQ GS
12/6/06,MVE/U US,Smart Move Inc,16.56,5,1,2880000.00,"I-Bankers Securities Inc, Newbridge Securities Corp",Industrial,50.8,, 
12/4/06,0117799D US,Penn Virginia GP Holdings LP,127.65,18.5,-2.702702761,6300000.00,"UBS, Lehman Brothers",Energy,721.96,, 
11/29/06,NLST US,Netlist Inc,50.3125,7,15.71428585,6250000.00,Stifel,Technology,143.37,1.13299,OTC US
11/27/06,ETY US,Eaton Vance Tax-Managed Diversified Equity Income Fund,2860,20,0,131000000.00,Wells Fargo,Financial,0,22.0352,New York
11/27/06,CREX US,Creative Realities Inc,20.7,4,16.75,4500000.00,Feltl & Co,"Consumer, Cyclical",31.94,26.0567,NASDAQ CM
11/22/06,CTS LN,Catalytic Solutions Inc,30.1912,123,9.349593163,12870000.00,Canaccord Financial Inc,Industrial,150.318,, 
11/21/06,DHG US,Deutsche High Income Opportunities Fund Inc,1020,20,0.25,45500000.00,Morgan Stanley,Financial,0,, 
11/20/06,SPR US,Spirit AeroSystems Holdings Inc,1646.99,26,11.53846169,55083300.00,"UBS, Morgan Stanley, Goldman Sachs",Industrial,1646.99,6.246, 
11/20/06,FOF US,Cohen & Steers Closed-End Opportunity Fund Inc,500.647,20,0.5,23750000.00,BofA Securities,Financial,0,20.1111,New York
11/20/06,WLDN US,Willdan Group Inc,33.35,10,5.599999905,2900000.00,Wedbush Securities Inc,"Consumer, Non-cyclical",71.48,81.089,NASDAQ GM
11/16/06,FSLR US,First Solar Inc,458.85,20,23.70000076,20000000.00,"Morgan Stanley, UBS",Energy,1446.61,100.029,NASDAQ GS
11/16/06,NMX US,NYMEX Holdings Inc,441.025,59,125.4067764,6500000.00,"JP Morgan, BofA Securities",Financial,5189.94,, 
11/16/06,VQ US,Venoco LLC,214.429,17,0,12500000.00,"Lehman Brothers, UBS, JP Morgan",Energy,725.77,, 
11/15/06,HRI US,Herc Holdings Inc,1323.53,15,130,88235000.00,"JP Morgan, Goldman Sachs, BofA Securities, Lehman Brothers","Consumer, Non-cyclical",4809.29,110.841,New York
11/15/06,KBR US,KBR Inc,544.272,17,22.05882263,27840000.00,"UBS, Goldman Sachs",Technology,2849.93,99.5118,New York
11/15/06,HNSN US,Hansen Medical Inc,86.25,12,1.666666627,6250000.00,"JP Morgan, Morgan Stanley","Consumer, Non-cyclical",257.9,, 
11/14/06,SNMP US,Evolve Transition Infrastructu,108.675,21,4.523809433,4500000.00,"Lehman Brothers, Citi",Energy,247.15,99.1888, 
11/14/06,EBS US,Emergent BioSolutions Inc,62.5,12.5,-6.400000095,5000000.00,JP Morgan,"Consumer, Non-cyclical",342.75,87.7475,New York
11/10/06,ADK/U US,AdCare Health Systems Inc,6.6785,9.5,2.631578922,703000.00,"Newbridge Securities Corp, Joseph Gunnar & Co","Consumer, Non-cyclical",0,, 
11/9/06,YTENQ US,Yield10 Bioscience Inc,109.48,14,10.85714245,6800000.00,Piper Sandler & Co,"Consumer, Non-cyclical",285.8,,OTC US
11/9/06,CPLA US,Capella Education Co,92,20,25.54999924,4000000.00,"UBS, BofA Securities, Piper Sandler & Co, Stifel","Consumer, Non-cyclical",307.32,, 
11/9/06,MANF US,Manifold Capital Corp,89.681,13,-1.153846145,6898540.00,"JP Morgan, UBS",Diversified,477.91,, 
11/9/06,SLTM US,Solta Medical Inc,43.05,7,-3.571428537,6000000.00,BofA Securities,"Consumer, Non-cyclical",157.64,, 
11/9/06,XWE CN,World Energy Solutions Inc/MA,28.4887,1.05,4.54E-06,27441100.00,Cormark Securities Inc,Technology,67.6699,, 
11/8/06,1899786D US,Intact Insurance Group USA Holdings Inc,690,25,4.039999962,24000000.00,Lehman Brothers,Financial,600,0.0360645, 
11/8/06,KBW US,KBW LLC,164.22,21,27.76190567,6800000.00,"Stifel, BofA Securities",Financial,642.16,, 
11/8/06,FACE US,Physicians Formula Holdings Inc,146.625,17,16,7500000.00,"Citi, Deutsche Bank","Consumer, Non-cyclical",233.01,, 
11/8/06,CPRX US,Catalyst Pharmaceuticals Inc,20.1,6,1.666666627,3350000.00,Gleacher & Co Inc,"Consumer, Non-cyclical",75.1,88.857,NASDAQ CM
11/3/06,ORBC US,ORBCOMM Inc,101.539,11,-29.54545403,9230800.00,UBS,Communications,399.35,, 
11/2/06,GSAT US,Globalstar Inc,127.5,17,3.058823586,7500000.00,"JP Morgan, Wells Fargo",Communications,1196.38,73.0129,NASDAQ GS
11/2/06,IPHS US,Innophos Holdings Inc,119.999,12,0.583333314,8695650.00,"JP Morgan, UBS",Basic Materials,243.25,11.8777, 
11/1/06,DRSV US,Debt Resolve Inc,12.5,5,0,2500000.00,EKN Financial Services Inc,Communications,32.28,, 
10/30/06,VRAIU US,Viragen Inc,18.7213,0.26,3.846157551,67000000.00,Dawson James Securities,"Consumer, Non-cyclical",0,, 
10/27/06,SOM LN,Somero Enterprises Inc,50.7734,125,5.199999809,21409800.00,Jefferies,Industrial,81.2998,41.5561,London
10/26/06,OPTM US,Optium Corp,104.65,17.5,12,5200000.00,"UBS, Morgan Stanley",Communications,442.53,, 
10/26/06,1893407D US,Achillion Pharmaceuticals Inc,59.5125,11.5,7.739130497,4500000.00,TD Securities,"Consumer, Non-cyclical",178.52,, 
10/25/06,IRR US,Voya Natural Resources Equity Income Fund,415,20,0.050000001,20750000.00,Citi,Financial,0,17.9373, 
10/24/06,GHSEQ US,GateHouse Media LLC,285.66,18,17.61111069,13800000.00,"Wells Fargo, Goldman Sachs",Communications,699.71,, 
10/24/06,EROC US,Eagle Rock Energy Partners LP,265.312,19,-5.263157845,12500000.00,"Goldman Sachs, Lehman Brothers, UBS",Energy,420.95,, 
10/24/06,CADX US,Mallinckrodt Hospital Products Inc,62.1,9,4.444444656,6000000.00,BofA Securities,"Consumer, Non-cyclical",260.51,, 
10/23/06,DEI US,Douglas Emmett Inc,1593.9,21,12.61904716,66000000.00,"Citi, Lehman Brothers, BofA Securities",Financial,2399.94,109.589,New York
10/19/06,EXLS US,ExlService Holdings Inc,77.625,13.5,39.55555725,5000000.00,"Goldman Sachs, Citi",Technology,379.2,102.995,NASDAQ GS
10/19/06,LMAT US,LeMaitre Vascular Inc,38.5,7,-11.4285717,5500000.00,Goldman Sachs,"Consumer, Non-cyclical",106.9,101.418,NASDAQ GM
10/19/06,IVVI US,Ivivi Technologies Inc,16.5,6,1.166666627,2500000.00,Maxim Group LLC,"Consumer, Non-cyclical",57.5,,OTC US
10/18/06,FMR US,First Mercury Financial Corp,189.75,17,14.70588207,9705880.00,"JP Morgan, Stifel",Financial,294.62,, 
10/18/06,SUSS US,Susser Holdings Corp,123.338,16.5,9.090909004,6500000.00,BofA Securities,"Consumer, Cyclical",269.35,, 
10/18/06,GHN/U US,Granahan McCourt Acquisition Corp,90,8,0,11250000.00,Deutsche Bank,Diversified,0,, 
10/18/06,TWC US,Time Warner Cable Inc,0,0,,,JSM Cos,Communications,0,, 
10/17/06,0313624D US,Stanley Inc,94.185,13,19.23077011,6300000.00,Citi,Industrial,259.5,, 
10/17/06,TRBN US,Trubion Pharmaceuticals Inc,59.8,13,0.692307711,4000000.00,Morgan Stanley,"Consumer, Non-cyclical",227.57,, 
10/16/06,APLP US,Archrock Partners LP,132.825,21,7.285714149,5500000.00,"Lehman Brothers, BofA Securities",Energy,150.15,100, 
10/12/06,LDOS US,Leidos Holdings Inc,1293.75,15,21.20000076,75000000.00,"Morgan Stanley, JP Morgan",Technology,1293.75,80.9636,New York
10/12/06,APKT US,Acme Packet Inc,125.359,9.5,67.47368622,11474500.00,Goldman Sachs,Communications,555.07,, 
10/12/06,EHTH US,eHealth Inc,80.5,14,63.57143021,5000000.00,"BofA Securities, Morgan Stanley",Financial,303.78,60.9968,NASDAQ GS
10/11/06,AWI US,Armstrong World Industries Inc,0,0,,,,Industrial,0,106.586,New York
10/10/06,PGDC CN,Patagonia Gold Corp,0.8828,0.3,,1666670.00,Wolverton Securities,Basic Materials,0,20.408,Venture
10/10/06,FFNT CN,4Front Ventures Corp,0.26484,0.1,170,3000000.00,Haywood Securities Inc,"Consumer, Non-cyclical",0.70624,34.078, 
10/4/06,BBEPQ US,Breitburn Energy Partners LP,127.65,18.5,-1.567567587,6000000.00,"Citi, RBC Capital Markets",Energy,517.55,, 
10/4/06,PRIMU US,Primoris Services Corp,41.4,8,1.625,4500000.00,EarlyBirdCapital.com,Industrial,45,, 
10/3/06,LTXB US,LegacyTexas Financial Group Inc,0,0,,10091300.00,Stifel,Financial,0,, 
9/28/06,BARE US,Bare Escentuals Inc,404.8,22,23.40909004,16000000.00,Goldman Sachs,"Consumer, Non-cyclical",1967.42,82.1311, 
9/28/06,CAF US,Morgan Stanley China A Share Fund Inc,261.937,20,0.400000006,12201400.00,Morgan Stanley,Financial,0,113.882,New York
9/28/06,SFLY US,Shutterfly LLC,87,15,3.666666746,5800000.00,JP Morgan,Communications,354.17,, 
9/28/06,OFSI US,Omni Financial Services Inc,36.5988,9.5,10.42105293,3350000.00,Sandler O'Neill & Partners,Financial,104.29,,OTC US
9/27/06,CVHL US,CV Holdings Inc/United States,160.028,14.5,3.448275805,9600000.00,"UBS, Deutsche Bank, Citi, Wells Fargo",Financial,423.04,,OTC US
9/27/06,ICFI US,ICF International Inc,64.446,12,2.083333254,4670000.00,UBS,"Consumer, Non-cyclical",163.76,96.6798,NASDAQ GS
9/26/06,BCF US,BlackRock Real Asset Equity Trust,802.5,15,0.06666667,53500000.00,"BofA Securities, Wells Fargo, Citi, UBS, AG Edwards & Sons LLC",Financial,0,, 
9/26/06,EVEPQ US,EV Energy Partners LP,86.7,20,-1.049999952,3900000.00,AG Edwards & Sons LLC,Energy,98.6,, 
9/21/06,CVLT US,CommVault Systems Inc,185.278,14.5,17.24137878,11111100.00,"UBS, Goldman Sachs",Technology,603.94,104.435,NASDAQ GS
9/21/06,DIVX US,NLD LLC,167.44,16,16.875,9100000.00,JP Morgan,Technology,534.9,, 
9/21/06,LMST US,Limestone Bancorp Inc,37.2,24,-4.166666508,1550000.00,Sandler O'Neill & Partners,Financial,182.92,11.5325, 
9/20/06,KED US,Kayne Anderson Energy Development Co,250,25,-4,10000000.00,"UBS, Citi",Financial,250,12.7225, 
9/20/06,RVBD US,Riverbed Technology Inc,98.3806,9.75,56.92307663,8800000.00,Goldman Sachs,Technology,644.03,, 
9/20/06,HDIX US,Trividia Health Inc,91.0729,12,5.083333492,6599490.00,JP Morgan,"Consumer, Non-cyclical",210.98,, 
9/19/06,HPGP US,Hiland Holdings GP LP,148.925,18.5,4.05405426,7000000.00,Lehman Brothers,Energy,419.25,, 
9/14/06,GORO US,Gold Resource Corp,0,0,,,,Basic Materials,0,44.4582,NYSEAmerican
8/31/06,ESA/U US,Energy Services of America Corp,51.6,6,-3.833333254,8600000.00,RBC Capital Markets,Industrial,64.5,, 
8/28/06,FEO US,First Trust/abrdn Emerging Opp,118,20,0.050000001,5900000.00,"Citi, BofA Securities",Funds,0,10.3445, 
8/24/06,MAQ/U US,Marathon Acquisition Corp,320.287,8,0,37500000.00,Citi,Diversified,395.29,, 
8/18/06,8161730Q CN,NewWest Gold Corp,16.3542,2.5,0,7050000.00,Canaccord Financial Inc,Basic Materials,129.117,, 
8/15/06,INWK US,InnerWorkings Inc,109.606,9,16.11111069,10590000.00,Morgan Stanley,Technology,396.13,28.9071, 
8/10/06,EVR US,Evercore Inc,95.3925,21,18.33333397,3950000.00,Lehman Brothers,Financial,96.44,94.3769,New York
8/7/06,AYR US,Aircastle Ltd,240.454,23,15.652174,9090900.00,"JP Morgan, Citi",Financial,1183.27,, 
8/7/06,SOLA LN,Emeren Group Ltd,50.2545,79,13.92405033,33333300.00,,Energy,150.764,, 
8/3/06,0618586D US,Buckeye GP Holdings LP,178.5,17,-4.529411793,10500000.00,"Citi, BofA Securities, Goldman Sachs",Energy,481.1,, 
8/3/06,OSIR US,Osiris Therapeutics Inc,38.5,11,0,3500000.00,Jefferies,"Consumer, Non-cyclical",298.53,0.817457, 
8/3/06,IDM AU,IDM International Ltd,6.0888,0.2,14.99999809,40000000.00,,Basic Materials,24.4465,, 
8/1/06,SYCRF US,Syncora Holdings Ltd,480.518,20.5,0,22447700.00,"BofA Securities, JP Morgan, Goldman Sachs",Financial,1314.8,, 
7/28/06,NAPL LN,Napo Pharmaceuticals Inc,22.1499,83,9.036144257,14315300.00,Nomura,"Consumer, Non-cyclical",66.8269,, 
7/27/06,CYRV US,Crystal River Capital Inc,172.5,23,-2.347826004,7500000.00,"Deutsche Bank, Wells Fargo",Financial,575.54,, 
7/27/06,1938275D US,GeoMet Inc,57.5,10,9.699999809,5000000.00,BofA Securities,Energy,374.64,, 
7/26/06,AGD US,abrdn Global Dynamic Dividend Fund,414,20,0,20700000.00,"Wells Fargo, Citi",Financial,0,38.6935,New York
7/25/06,GTLS US,Chart Industries Inc,187.5,15,1.333333373,12500000.00,"Lehman Brothers, UBS, Morgan Stanley",Industrial,383.82,100.017,New York
7/24/06,JGV US,Nuveen Global Equity Income Fund/Acquired,387,20,0,18350000.00,Morgan Stanley,Financial,0,9.09316, 
7/21/06,STAB US,Statera Biopharma Inc,10.2,6,-10,1700000.00,"Roth Capital Partners Inc, Sunrise Securities","Consumer, Non-cyclical",70.8858,0.00140025,OTC US
7/20/06,1240716D US,Targa Energy LP,82.8,23,0,3600000.00,Lehman Brothers,Energy,485.3,0.00110147, 
7/20/06,1650928D US,Chicopee Bancorp Inc,81.9907,0,,8199100.00,Stifel,Financial,0,, 
7/20/06,SMCGU US,Millennium Sustainable Venture,58,8,-4.75,7250000.00,Ladenburg Thalmann & Co,"Consumer, Non-cyclical",85,, 
7/19/06,TNL US,Travel + Leisure Co,0,0,,,,"Consumer, Cyclical",0,106.304,New York
7/18/06,EII/U US,Energy Infrastructure Acquisition Corp,209.25,10,-2,20250000.00,Maxim Group LLC,Financial,272.22,, 
7/13/06,1842126D US,NuStar GP Holdings LLC,379.5,22,0,17250000.00,Lehman Brothers,Energy,935,0.013829, 
7/13/06,IGPBU US,Israel Growth Partners Acquisition Corp,51.6918,10.1,-0.594063163,4600000.00,HCFP/Brenner Securities LLC,Diversified,92.92,, 
7/13/06,SSBI US,Summit State Bank,21.4905,15,0,1400000.00,"Raymond James & Associates, Robert W Baird & Co",Financial,0,29.5512,NASDAQ GM
7/13/06,IGPAU US,Israel Growth Partners Acquisition Corp,4.52625,8.5,-4.705882549,500000.00,HCFP/Brenner Securities LLC,Diversified,8.5,, 
7/12/06,COWN US,Cowen Inc,184.278,16,-0.75,11217400.00,"TD Securities, UBS, BofA Securities",Financial,240,, 
7/10/06,ASTIU US,Ascent Solar Technologies Inc,16.5,5.5,-6.363636494,3000000.00,Paulson Investment Co Inc,Energy,29.1,, 
7/7/06,NFSB US,Newport Bancorp Inc,39.9305,10,28,3993100.00,Sandler O'Neill & Partners,Financial,0,, 
7/7/06,DTB LN,Dietbrown Ltd,15.1503,95,23.68420982,8631580.00,,Financial,38.1524,, 
6/28/06,AVRNQ US,Aventine Renewable Energy Holdings Inc/Old,389.513,43,-10.76744175,9058450.00,"Goldman Sachs, BofA Securities, B Riley Financial Inc",Energy,1798.44,, 
6/28/06,0965081D US,First Trust Tax-Advantaged Preferred Income Fund,59.2,20,0,2925000.00,RBC Capital Markets,Financial,0,, 
6/28/06,EROS LN,Eros Media World PLC,51.6698,176,9.375,15625000.00,Investec,"Consumer, Cyclical",0,0.578428, 
6/28/06,PTX LN,Ballard Unmanned Systems Inc,16.5296,85,5.294117451,10350000.00,Canaccord Financial Inc,Industrial,66.8693,, 
6/27/06,JCG US,J Crew Group LLC,432.4,20,27.75,18800000.00,"Goldman Sachs, JP Morgan","Consumer, Cyclical",1097.68,, 
6/27/06,JGG US,Nuveen Global Income Opportunities Fund,185,20,0.050000001,9250000.00,"Nuveen Investments Inc, AG Edwards & Sons LLC, Citi, BofA Securities",Financial,0,, 
6/27/06,PGTI US,PGT Innovations Inc,142.059,14,10.71428585,8823530.00,"Deutsche Bank, JP Morgan",Industrial,362.55,22.0016, 
6/27/06,OMTR US,Omniture LLC,79.9825,6.5,0.461538464,10700000.00,Morgan Stanley,Technology,303.62,, 
6/27/06,RLM LN,Realm Therapeutics PLC,54.699,66,15.909091,45454500.00,Nomura,"Consumer, Non-cyclical",182.72,46.1482, 
6/27/06,CSII US,Cardiovascular Systems Inc,50.06,10,1,4500000.00,"Morgan Stanley, BofA Securities","Consumer, Non-cyclical",269.32,6.88363, 
6/23/06,NXDT US,NexPoint Diversified Real Esta,690,20,0,30000000.00,Morgan Stanley,Financial,0,51.3572,New York
6/22/06,HOMB US,Home BancShares Inc/AR,51.75,18,11.11111069,2500000.00,Stephens Inc,Financial,263.33,74.2708,New York
6/21/06,TWLL US,Techwell Inc,50.67,9,-2.777777672,5500000.00,Lehman Brothers,Technology,180.68,, 
6/19/06,EIHI US,Eastern Insurance Holdings Inc,74.75,10,14.10000038,7475000.00,Stifel,Financial,0,, 
6/15/06,SNCR US,Synchronoss Technologies Inc,65.0077,8,10.625,7066050.00,Goldman Sachs,Technology,202.8,49.0985, 
6/14/06,HWCC US,Houston Wire & Cable Co,127.075,13,17,8500000.00,"William Blair & Co LLC, Robert W Baird & Co","Consumer, Cyclical",271.27,, 
6/14/06,1413744D US,Golfsmith International Holdings Inc,69,11.5,-3.478260756,6000000.00,"JP Morgan, BofA Securities","Consumer, Cyclical",177.94,, 
6/14/06,VOLC US,Philips Image Guided Therapy Corp,62.56,8,10,6800000.00,"Piper Sandler & Co, JP Morgan","Consumer, Non-cyclical",263.43,, 
6/13/06,VSUNQ US,VeraSun Energy Corp,482.712,23,30.43478203,18250000.00,"Morgan Stanley, Lehman Brothers",Energy,1718.96,, 
6/6/06,1556530D US,LoopNet Inc,82.8,12,25,6000000.00,UBS,Financial,427.83,, 
6/6/06,AFMIU US,Affinity Media International Corp,18.975,6,0.5,2750000.00,Maxim Group LLC,Financial,24.97,, 
6/6/06,OCZ LN,ZCO Liquidating Corp,9.13997,65,19.23077011,7550000.00,Sanlam Life Insurance Ltd,Technology,5063.02,, 
6/5/06,BTC/U US,Community Bankers Trust Corp,60,8,-1.875,7500000.00,"Maxim Group LLC, I-Bankers Securities Inc",Financial,75,, 
6/2/06,ATEC US,Alphatec Holdings Inc,83.7,9,-0.222222224,9300000.00,"Gleacher & Co Inc, Deutsche Bank","Consumer, Non-cyclical",312.84,97.6305,NASDAQ GS
6/2/06,LUNA US,Luna Innovations Inc,21,6,0,3500000.00,ThinkEquity LLC,Communications,59.92,28.9855,OTC US
6/1/06,HDP/U US,HD Partners Acquisition Corp,150,8,0.125,18750000.00,Morgan Joseph TriArtisan Group Inc,Diversified,187.5,, 
6/1/06,CLUBQ US,Town Sports International Holdings Inc,116.35,13,1.923076868,8950000.00,"UBS, Deutsche Bank","Consumer, Cyclical",337.7,0.00135679, 
5/31/06,PFLM LN,PowerFilm Inc,18.0868,120,4.166666508,8009170.00,Nomura,Industrial,74.1776,0.160468, 
5/26/06,EOE US,Eaton Vance Credit Opportunities Fund,140,20,0,7000000.00,"BofA Securities, UBS, AG Edwards & Sons LLC",Financial,0,, 
5/26/06,1501257D US,RMR Real Estate Income Fund/DE,35,20,0,1750000.00,RBC Capital Markets,Financial,0,0.00176436, 
5/25/06,MWA US,Mueller Water Products Inc,460,16,4.6875,25000000.00,"Morgan Stanley, BofA Securities, Lehman Brothers",Industrial,460,104.488,New York
5/24/06,MA US,Mastercard Inc,2579.26,39,17.94871712,61520900.00,"JP Morgan, HSBC, Citi, Goldman Sachs",Financial,2925.69,93.3952,New York
5/23/06,2536085D US,Vonage Holdings Corp,531.25,17,-12.64705849,31250000.00,"Deutsche Bank, UBS, Citi",Communications,2647.44,, 
5/19/06,AXP AU,AXP Energy Ltd,6.8166,0.2,-1.49E-06,45000000.00,,Energy,15.8675,,ASE
5/18/06,DR US,AW Underwriters Inc,96,16,17.25,5217390.00,"UBS, BofA Securities",Financial,284.62,, 
5/17/06,1619058D US,Burger King Holdings Inc,488.75,17,2.941176414,25000000.00,"JP Morgan, Morgan Stanley, Goldman Sachs, Citi","Consumer, Cyclical",2325.58,, 
5/16/06,PNSNQ US,Penson Worldwide Inc,145.956,17,14.70588207,7465760.00,"UBS, JP Morgan",Financial,425.72,0.00710408, 
5/16/06,REST US,Restore Medical Inc,32,8,2.375,4000000.00,Deutsche Bank,"Consumer, Non-cyclical",122.01,, 
5/12/06,ASCQU US,Kitara Media Corp,41.4,6,3.5,6000000.00,EarlyBirdCapital.com,Communications,51.4,, 
5/11/06,BWTRQ US,Basin Water Inc,82.8,12,38.75,6000000.00,Janney Montgomery Scott LLC,Industrial,224.13,, 
5/11/06,BMTI US,BioMimetic Therapeutics Inc,36.8,8,3.125,4600000.00,"Deutsche Bank, Pacific Growth Equities Inc","Consumer, Non-cyclical",124.54,, 
5/10/06,CODI US,Compass Diversified Holdings,202.5,15,0.200000003,13500000.00,RBC Capital Markets,Financial,300,79.2538,New York
5/9/06,RECSI NO,REC Silicon ASA,1141.72,95,23.15789413,74600000.00,"ABG Sundal Collier Asa, UBS",Technology,7693.22,63.6942,Oslo
5/9/06,AHGP US,Alliance Holdings GP LP,312.5,25,0,12500000.00,"Lehman Brothers, Citi",Energy,1496.58,0.0232982, 
5/9/06,PRTK US,Paratek Pharmaceuticals Inc,44.8988,6.5,0,6250000.00,"TD Securities, JP Morgan","Consumer, Non-cyclical",145.08,6.47209, 
5/4/06,NSTR US,Northstar Neuroscience Inc,122.475,15,10.66666698,7100000.00,"Citi, TD Securities","Consumer, Non-cyclical",378.68,, 
5/3/06,1481878D US,DynCorp International Inc,375,15,-0.400000006,25000000.00,"UBS, Goldman Sachs","Consumer, Non-cyclical",0,, 
5/3/06,9876533D US,Delek US Energy Inc,184,16,1.5625,10000000.00,"Lehman Brothers, Citi",Energy,830.24,, 
4/28/06,TRBO LN,Turbotec Products Ltd,8.4614,85,4.117647171,5594370.00,Dawnay Day Brokers Ltd,Industrial,19.8232,, 
4/27/06,2085180D US,CPI International LLC,127.06,18,0,7058870.00,"JP Morgan, UBS",Communications,288.36,, 
4/26/06,GLO US,Clough Global Opportunities Fund,1027,20,0.150000006,45000000.00,BofA Securities,Financial,0,56.536,NYSEAmerican
4/26/06,RPSE LN,ReSearch Pharmaceutical Services Inc,200.357,6,-52.164814,18666700.00,Canaccord Genuity,"Consumer, Non-cyclical",250.446,, 
4/26/06,HAC/U US,Harbor Acquisition Corp,82.8,6,3.833333254,12000000.00,RBC Capital Markets,Diversified,100.8,, 
4/26/06,AMGIU US,American Mold Guard Inc,18.85,13,4.538461685,1350000.00,Paulson Investment Co Inc,"Consumer, Non-cyclical",56.73,, 
4/25/06,GCF US,Global Income & Currency Fund Inc,147,20,0,7350000.00,"BofA Securities, Citi, Nuveen Investments Inc",Financial,0,, 
4/20/06,CPX US,SPN Fairway Acquisition Inc/TX,717.6,24,12.08333302,26000000.00,UBS,Energy,1692.48,, 
4/20/06,OMRI US,Omrix Biopharmaceuticals Inc,39.5312,10,0.300000012,3437500.00,UBS,"Consumer, Non-cyclical",148.32,, 
4/20/06,GSPBU US,SouthPeak Interactive Corp,30.199,10.1,4.950490952,2600000.00,"Legend Merchant Group Inc, HCFP/Brenner Securities LLC",Technology,60.398,, 
4/20/06,SOPKU US,SouthPeak Interactive Corp,3.91,8.5,11.88235283,400000.00,"Legend Merchant Group Inc, HCFP/Brenner Securities LLC",Technology,7.82,, 
4/13/06,BRST LN,Burst Media LLC/MA,5.02451,82,6.707316875,3500000.00,,Communications,119.118,, 
4/12/06,INHIU US,InfuSystem Holdings Inc,101.252,6,1.666666627,16666700.00,FHN Financial,"Consumer, Non-cyclical",125.51,, 
4/12/06,VNDA US,Vanda Pharmaceuticals Inc,59.6419,10,-3.200000048,5750000.00,"BofA Securities, JP Morgan","Consumer, Non-cyclical",218.58,65.2589,NASDAQ GM
4/12/06,TXICU US,Tongxin International Ltd,40.2504,8,17.5,4375000.00,"Rodman & Renshaw Inc, Chardan Capital Markets LLC","Consumer, Cyclical",51.0424,, 
4/11/06,GYRE US,Gyre Therapeutics Inc,45,9,-3.777777672,5000000.00,Deutsche Bank,"Consumer, Non-cyclical",171.94,3.54327,NASDAQ CM
4/10/06,GNGTU US,Golden Gate Partners Inc,79.35,6,1,11500000.00,RBC Capital Markets,Financial,99.1,, 
4/7/06,ENTL LN,Entelos Inc,19.968,82.75,8.157099724,13810200.00,Investec,"Consumer, Non-cyclical",77.5542,, 
4/6/06,ZZ US,Sealy Corp,515.2,16,9.375,28000000.00,"Citi, Goldman Sachs, JP Morgan, BofA Securities","Consumer, Cyclical",1451.75,, 
4/5/06,2436735D US,Goodman Global Inc,487.059,18,11.38888931,23529400.00,"JP Morgan, BofA Securities, Goldman Sachs",Industrial,1240.02,, 
4/5/06,GFNCU US,General Finance Corp,69,8,3.625,7500000.00,Morgan Joseph TriArtisan Group Inc,Industrial,84,, 
4/5/06,ROX US,Castle Brands Inc,31.5,9,0,3500000.00,Oppenheimer & Co,"Consumer, Cyclical",108.03,0.153919, 
4/4/06,EICU US,VISICU Inc,110.4,16,54.875,6000000.00,Morgan Stanley,Technology,497.79,, 
4/3/06,9990279D US,Lake Shore Bancorp Inc,29.7563,10,7,2975630.00,Stifel,Financial,0,, 
4/3/06,POR US,Portland General Electric Co,0,0,,,,Utilities,0,94.4092,New York
3/31/06,PXIAU US,Phoenix India Acquisition Corp,56.6372,8,3.75,6156250.00,"Rodman & Renshaw Inc, I-Bankers Securities Inc",Diversified,57.06,, 
3/29/06,FHY US,First Trust Strategic High Income Fund II,188,20,0,9400000.00,RBC Capital Markets,Funds,0,43.2653, 
3/27/06,PSF LN,Peach Holdings Inc,232.229,309,5.663430214,38888900.00,"JP Morgan, Canaccord Genuity",Financial,562.915,, 
